PROTID,PROTLEN,ISFWD,DEFLINE,NUMXML,ALL_ID,MAXPW,ALL_PW,ALL_LOCALPW,MAXINIPROB,WT_MAXINIPROB,MAXINIPROBUNIQ,ALL_NUMPEPSTOT,ALL_NUMPEPSUNIQ,ALL_NUMSPECSTOT,ALL_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_10B_23_ID,X2021_01_20_CORALEGGS_10B_23_PW,X2021_01_20_CORALEGGS_10B_23_NUMPEPSTOT,X2021_01_20_CORALEGGS_10B_23_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_10B_23_NUMSPECSTOT,X2021_01_20_CORALEGGS_10B_23_TOTNSAF,X2021_01_20_CORALEGGS_10B_23_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_10B_23_UNIQNSAF,X2021_01_20_CORALEGGS_10B_23_NUMSPECSADJ,X2021_01_20_CORALEGGS_10B_23_ADJNSAF,X2021_01_20_CORALEGGS_10NB_13_ID,X2021_01_20_CORALEGGS_10NB_13_PW,X2021_01_20_CORALEGGS_10NB_13_NUMPEPSTOT,X2021_01_20_CORALEGGS_10NB_13_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_10NB_13_NUMSPECSTOT,X2021_01_20_CORALEGGS_10NB_13_TOTNSAF,X2021_01_20_CORALEGGS_10NB_13_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_10NB_13_UNIQNSAF,X2021_01_20_CORALEGGS_10NB_13_NUMSPECSADJ,X2021_01_20_CORALEGGS_10NB_13_ADJNSAF,X2021_01_20_CORALEGGS_13B_07_ID,X2021_01_20_CORALEGGS_13B_07_PW,X2021_01_20_CORALEGGS_13B_07_NUMPEPSTOT,X2021_01_20_CORALEGGS_13B_07_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_13B_07_NUMSPECSTOT,X2021_01_20_CORALEGGS_13B_07_TOTNSAF,X2021_01_20_CORALEGGS_13B_07_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_13B_07_UNIQNSAF,X2021_01_20_CORALEGGS_13B_07_NUMSPECSADJ,X2021_01_20_CORALEGGS_13B_07_ADJNSAF,X2021_01_20_CORALEGGS_13NB_22_ID,X2021_01_20_CORALEGGS_13NB_22_PW,X2021_01_20_CORALEGGS_13NB_22_NUMPEPSTOT,X2021_01_20_CORALEGGS_13NB_22_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_13NB_22_NUMSPECSTOT,X2021_01_20_CORALEGGS_13NB_22_TOTNSAF,X2021_01_20_CORALEGGS_13NB_22_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_13NB_22_UNIQNSAF,X2021_01_20_CORALEGGS_13NB_22_NUMSPECSADJ,X2021_01_20_CORALEGGS_13NB_22_ADJNSAF,X2021_01_20_CORALEGGS_21B_17_ID,X2021_01_20_CORALEGGS_21B_17_PW,X2021_01_20_CORALEGGS_21B_17_NUMPEPSTOT,X2021_01_20_CORALEGGS_21B_17_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_21B_17_NUMSPECSTOT,X2021_01_20_CORALEGGS_21B_17_TOTNSAF,X2021_01_20_CORALEGGS_21B_17_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_21B_17_UNIQNSAF,X2021_01_20_CORALEGGS_21B_17_NUMSPECSADJ,X2021_01_20_CORALEGGS_21B_17_ADJNSAF,X2021_01_20_CORALEGGS_21NB_09_ID,X2021_01_20_CORALEGGS_21NB_09_PW,X2021_01_20_CORALEGGS_21NB_09_NUMPEPSTOT,X2021_01_20_CORALEGGS_21NB_09_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_21NB_09_NUMSPECSTOT,X2021_01_20_CORALEGGS_21NB_09_TOTNSAF,X2021_01_20_CORALEGGS_21NB_09_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_21NB_09_UNIQNSAF,X2021_01_20_CORALEGGS_21NB_09_NUMSPECSADJ,X2021_01_20_CORALEGGS_21NB_09_ADJNSAF,X2021_01_20_CORALEGGS_26B_21_ID,X2021_01_20_CORALEGGS_26B_21_PW,X2021_01_20_CORALEGGS_26B_21_NUMPEPSTOT,X2021_01_20_CORALEGGS_26B_21_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_26B_21_NUMSPECSTOT,X2021_01_20_CORALEGGS_26B_21_TOTNSAF,X2021_01_20_CORALEGGS_26B_21_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_26B_21_UNIQNSAF,X2021_01_20_CORALEGGS_26B_21_NUMSPECSADJ,X2021_01_20_CORALEGGS_26B_21_ADJNSAF,X2021_01_20_CORALEGGS_26NB_15_ID,X2021_01_20_CORALEGGS_26NB_15_PW,X2021_01_20_CORALEGGS_26NB_15_NUMPEPSTOT,X2021_01_20_CORALEGGS_26NB_15_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_26NB_15_NUMSPECSTOT,X2021_01_20_CORALEGGS_26NB_15_TOTNSAF,X2021_01_20_CORALEGGS_26NB_15_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_26NB_15_UNIQNSAF,X2021_01_20_CORALEGGS_26NB_15_NUMSPECSADJ,X2021_01_20_CORALEGGS_26NB_15_ADJNSAF,X2021_01_20_CORALEGGS_66B_14_ID,X2021_01_20_CORALEGGS_66B_14_PW,X2021_01_20_CORALEGGS_66B_14_NUMPEPSTOT,X2021_01_20_CORALEGGS_66B_14_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_66B_14_NUMSPECSTOT,X2021_01_20_CORALEGGS_66B_14_TOTNSAF,X2021_01_20_CORALEGGS_66B_14_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_66B_14_UNIQNSAF,X2021_01_20_CORALEGGS_66B_14_NUMSPECSADJ,X2021_01_20_CORALEGGS_66B_14_ADJNSAF,X2021_01_20_CORALEGGS_66NB_16_ID,X2021_01_20_CORALEGGS_66NB_16_PW,X2021_01_20_CORALEGGS_66NB_16_NUMPEPSTOT,X2021_01_20_CORALEGGS_66NB_16_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_66NB_16_NUMSPECSTOT,X2021_01_20_CORALEGGS_66NB_16_TOTNSAF,X2021_01_20_CORALEGGS_66NB_16_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_66NB_16_UNIQNSAF,X2021_01_20_CORALEGGS_66NB_16_NUMSPECSADJ,X2021_01_20_CORALEGGS_66NB_16_ADJNSAF,X2021_01_20_CORALEGGS_74B_08_ID,X2021_01_20_CORALEGGS_74B_08_PW,X2021_01_20_CORALEGGS_74B_08_NUMPEPSTOT,X2021_01_20_CORALEGGS_74B_08_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_74B_08_NUMSPECSTOT,X2021_01_20_CORALEGGS_74B_08_TOTNSAF,X2021_01_20_CORALEGGS_74B_08_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_74B_08_UNIQNSAF,X2021_01_20_CORALEGGS_74B_08_NUMSPECSADJ,X2021_01_20_CORALEGGS_74B_08_ADJNSAF,X2021_01_20_CORALEGGS_74NB_20_ID,X2021_01_20_CORALEGGS_74NB_20_PW,X2021_01_20_CORALEGGS_74NB_20_NUMPEPSTOT,X2021_01_20_CORALEGGS_74NB_20_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_74NB_20_NUMSPECSTOT,X2021_01_20_CORALEGGS_74NB_20_TOTNSAF,X2021_01_20_CORALEGGS_74NB_20_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_74NB_20_UNIQNSAF,X2021_01_20_CORALEGGS_74NB_20_NUMSPECSADJ,X2021_01_20_CORALEGGS_74NB_20_ADJNSAF
A0A1Q9CTT4,414,1,Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene32613 PE=4 SV=1,3,1255-a,0.9949,0.9999,0.9999,0.999,1,0.999,2,2,3,3,null,0,0,0,0,0,0,0,0,0,1835-a,0.2913,1,1,1,15.9208,1,18.1752,1,17.4978,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,914-a,0.9949,1,1,1,13.7132,1,15.6541,1,14.9889,null,0,0,0,0,0,0,0,0,0,938-a,0.9944,1,1,1,13.3671,1,15.1118,1,14.5029
A0A1Q9DKW0,2313,1,PPM-type phosphatase domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene22033 PE=4 SV=1,10,1257-a,0.9982,0.9999,0.9999,0.999,1,0.999,2,2,17,17,1805-a,0.2757,1,1,1,2.86,1,3.2476,1,3.116,1029-a,0.8905,1,1,2,5.6993,2,6.5063,2,6.2638,969-a,0.9395,1,1,1,2.9207,1,3.4049,1,3.2526,null,0,0,0,0,0,0,0,0,0,883-a,0.9852,1,1,1,2.7099,1,3.0865,1,2.9763,761-a,0.9982,2,2,2,5.2528,2,6.0052,2,5.7486,null,0,0,0,0,0,0,0,0,0,835-a,0.9952,1,1,4,11.4404,4,13.0935,4,12.5834,855-a,0.9954,1,1,1,3.0877,1,3.4837,1,3.377,1226-a,0.8468,1,1,1,2.4545,1,2.8019,1,2.6828,1171-a,0.844,1,1,2,5.1961,2,5.867,2,5.6595,1596-a,0.4613,1,1,2,4.7851,2,5.4097,2,5.1917
A0A1Q9E9V0,2419,1,Cysteine desulfurase OS=Symbiodinium microadriaticum OX=2951 GN=NFS1 PE=3 SV=1,8,1258-a,1,0.9999,0.9999,0.999,1,0.999,2,2,10,10,961-a,0.9291,1,1,1,2.7347,1,3.1053,1,2.9794,null,0,0,0,0,0,0,0,0,0,372-a,1,2,2,2,5.5855,2,6.5115,2,6.2201,929-a,0.9627,1,1,1,2.6569,1,3.0564,1,2.9264,1119-a,0.8807,1,1,1,2.5911,1,2.9512,1,2.8459,886-a,0.9953,1,1,1,2.5113,1,2.871,1,2.7484,null,0,0,0,0,0,0,0,0,0,841-a,0.9952,1,1,2,5.4696,2,6.2599,2,6.016,null,0,0,0,0,0,0,0,0,0,1898-a,0.3207,1,1,1,2.3469,1,2.6791,1,2.5653,null,0,0,0,0,0,0,0,0,0,1290-a,0.7363,1,1,1,2.2877,1,2.5863,1,2.4821
A0A1Q9EC21,745,1,"Glutamate-1-semialdehyde 2,1-aminomutase OS=Symbiodinium microadriaticum OX=2951 GN=GSA1 PE=3 SV=1",8,1259-a,0.9618,0.9999,0.9999,0.9915,1,0.9915,2,2,8,8,1382-a,0.542,1,1,1,8.8794,1,10.0827,1,9.6741,null,0,0,0,0,0,0,0,0,0,1337-a,0.6786,1,1,1,9.068,1,10.5713,1,10.0983,938-a,0.9618,1,1,1,8.627,1,9.9241,1,9.502,963-a,0.9517,1,1,1,8.4134,1,9.5826,1,9.2407,1115-a,0.9027,1,1,1,8.1542,1,9.3222,1,8.9239,1128-a,0.8045,1,1,1,10.3018,1,11.6327,1,11.2163,1016-a,0.9036,1,1,1,8.8798,1,10.1628,1,9.7669,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1173-a,0.8398,1,1,1,8.0662,1,9.1076,1,8.7855,null,0,0,0,0,0,0,0,0,0
lcl|c216942_g4_i3|m.4860,274,1,lcl c216942_g4_i3 g.4860  ORF lcl c216942_g4_i3 g.4860 lcl c216942_g4_i3 m.4860 type:complete len:274 (+) lcl c216942_g4_i3:91-912(+),12,126-a,1,1,1,0.999,1,0.999,6,6,48,48,58-a,1,3,3,3,72.4283,3,82.2442,3,78.9109,76-a,1,3,3,3,72.1666,3,82.3853,3,79.3147,63-a,1,4,4,4,98.6225,4,114.9726,4,109.828,74-a,1,5,5,5,117.2838,5,134.9176,5,129.179,71-a,1,5,5,5,114.3787,5,130.2741,5,125.6258,74-a,1,5,5,5,110.8556,5,126.7342,5,121.3195,56-a,1,3,3,3,84.0314,3,94.8876,3,91.4907,56-a,1,4,4,4,96.5757,4,110.5298,4,106.2245,62-a,1,2,2,2,52.1299,2,58.8165,2,57.0143,83-a,1,3,3,3,62.1599,3,70.9576,3,67.9424,71-a,1,6,6,6,131.5903,6,148.5796,6,143.3262,83-a,1,5,5,5,100.9852,5,114.1656,5,109.5655
WP_005463577.1,348,1,MULTISPECIES: GMP reductase [Vibrio],2,1261-a,0.9694,0.9999,0.9989,0.992,1,0.992,2,2,2,2,1301-a,0.6285,1,1,1,19.009,1,21.5852,1,20.7103,null,0,0,0,0,0,0,0,0,0,870-a,0.9694,1,1,1,19.4128,1,22.6311,1,21.6184,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c214821_g1_i3|m.3690,247,1,lcl c214821_g1_i3 g.3690  ORF lcl c214821_g1_i3 g.3690 lcl c214821_g1_i3 m.3690 type:complete len:247 (+) lcl c214821_g1_i3:55-795(+),4,1264-a,0.9961,0.9999,0.9999,0.999,1,0.999,2,2,4,4,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,738-a,0.9961,1,1,1,27.3508,1,31.8851,1,30.4584,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1140-a,0.7944,1,1,1,31.0723,1,35.0866,1,33.8306,null,0,0,0,0,0,0,0,0,0,1203-a,0.7658,1,1,1,28.9142,1,32.6229,1,31.6233,1895-a,0.3226,1,1,1,22.9849,1,26.238,1,25.1231,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c218655_g2_i5|m.5887,215,1,lcl c218655_g2_i5 g.5887  ORF lcl c218655_g2_i5 g.5887 lcl c218655_g2_i5 m.5887 type:complete len:215 (+) lcl c218655_g2_i5:38-682(+),9,1265-a,0.9961,0.9999,0.9999,0.999,1,0.999,2,2,10,10,1215-a,0.6989,1,1,1,30.768,1,34.9378,1,33.5218,null,0,0,0,0,0,0,0,0,0,883-a,0.9657,1,1,1,31.4216,1,36.6308,1,34.9917,812-a,0.9954,1,1,1,29.8937,1,34.3883,1,32.9256,791-a,0.9954,1,1,1,29.1533,1,33.2047,1,32.02,1047-a,0.9361,1,1,1,28.2553,1,32.3025,1,30.9224,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,738-a,0.9961,2,2,2,66.4353,2,74.9568,2,72.6601,994-a,0.9615,1,1,1,26.4059,1,30.1432,1,28.8623,957-a,0.964,1,1,1,27.9502,1,31.5588,1,30.4429,1005-a,0.9533,1,1,1,25.7395,1,29.0989,1,27.9265
lcl|c219088_g3_i5|m.6180,194,1,lcl c219088_g3_i5 g.6180  ORF lcl c219088_g3_i5 g.6180 lcl c219088_g3_i5 m.6180 type:complete len:194 (+) lcl c219088_g3_i5:201-782(+),2,1266-a,0.9951,0.9999,0.9999,0.999,1,0.999,2,2,2,2,null,0,0,0,0,0,0,0,0,0,780-a,0.9951,1,1,1,33.9754,1,38.7862,1,37.3406,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1791-a,0.3776,1,1,1,31.3138,1,35.7991,1,34.2696,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c221832_g4_i5|m.7893,662,1,lcl c221832_g4_i5 g.7893  ORF lcl c221832_g4_i5 g.7893 lcl c221832_g4_i5 m.7893 type:complete len:662 (+) lcl c221832_g4_i5:302-2287(+),2,1267-a,0.9954,0.9999,0.9999,0.999,1,0.999,2,2,2,2,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,797-a,0.9954,1,1,1,9.4682,1,10.784,1,10.3992,1174-a,0.8706,1,1,1,9.1766,1,10.491,1,10.0428,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c229494_g4_i7|m.14309,627,1,lcl c229494_g4_i7 g.14309  ORF lcl c229494_g4_i7 g.14309 lcl c229494_g4_i7 m.14309 type:complete len:627 (+) lcl c229494_g4_i7:105-1985(+),8,1268-a,0.9997,0.9999,0.9999,0.999,1,0.999,2,2,10,10,null,0,0,0,0,0,0,0,0,0,920-a,0.9474,1,1,1,10.5123,1,12.0008,1,11.5535,786-a,0.9961,1,1,1,10.7745,1,12.5608,1,11.9988,712-a,0.9997,2,2,2,20.5013,2,23.5837,2,22.5806,813-a,0.9954,1,1,1,9.9967,1,11.386,1,10.9797,944-a,0.9661,1,1,1,9.6888,1,11.0766,1,10.6034,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1031-a,0.951,1,1,1,9.0547,1,10.3362,1,9.897,1019-a,0.9458,1,1,1,9.5842,1,10.8216,1,10.439,823-a,0.999,2,2,2,17.6523,2,19.9562,2,19.1521
lcl|c217046_g2_i2|m.4921,339,1,lcl c217046_g2_i2 g.4921  ORF lcl c217046_g2_i2 g.4921 lcl c217046_g2_i2 m.4921 type:complete len:339 (+) lcl c217046_g2_i2:363-1379(+),12,127-a,1,1,1,0.999,1,0.999,3,3,21,21,1088-a,0.8327,1,1,1,19.5136,1,22.1582,1,21.2602,77-a,1,2,2,2,38.8862,2,44.3924,2,42.7379,663-a,0.9997,2,2,2,39.8563,2,46.4639,2,44.3848,75-a,1,2,2,2,37.9183,2,43.6194,2,41.7641,787-a,0.9954,1,1,1,18.4895,1,21.0591,1,20.3076,800-a,0.9953,1,1,1,17.92,1,20.4868,1,19.6115,585-a,0.9998,2,2,2,45.2794,2,51.1292,2,49.2988,57-a,1,2,2,2,39.0291,2,44.6684,2,42.9285,63-a,1,2,2,2,42.1345,2,47.539,2,46.0824,84-a,1,2,2,2,33.4942,2,38.2347,2,36.61,691-a,0.9999,2,2,2,35.453,2,40.0303,2,38.6149,84-a,1,2,2,2,32.6489,2,36.9102,2,35.4229
lcl|c230276_g3_i1|m.15112,226,1,lcl c230276_g3_i1 g.15112  ORF lcl c230276_g3_i1 g.15112 lcl c230276_g3_i1 m.15112 type:complete len:226 (+) lcl c230276_g3_i1:92-769(+),11,1270-a,0.9994,0.9999,0.9999,0.999,1,0.999,2,2,12,12,1298-a,0.6311,1,1,1,29.2704,1,33.2373,1,31.8902,1240-a,0.7117,1,1,1,29.1647,1,33.2943,1,32.0534,1326-a,0.6917,1,1,1,29.8922,1,34.8479,1,33.2886,1574-a,0.505,1,1,1,28.4387,1,32.7145,1,31.3231,1144-a,0.8653,1,1,1,27.7343,1,31.5886,1,30.4615,732-a,0.9994,2,2,2,53.76,2,61.4605,2,58.8346,719-a,0.9964,1,1,1,33.9596,1,38.3469,1,36.9741,null,0,0,0,0,0,0,0,0,0,968-a,0.9167,1,1,1,31.6009,1,35.6542,1,34.5618,1076-a,0.936,1,1,1,25.1207,1,28.6761,1,27.4575,1641-a,0.4016,1,1,1,26.5898,1,30.0227,1,28.9612,999-a,0.9554,1,1,1,24.4867,1,27.6826,1,26.5672
lcl|c236114_g1_i1|m.21718,518,1,lcl c236114_g1_i1 g.21718  ORF lcl c236114_g1_i1 g.21718 lcl c236114_g1_i1 m.21718 type:complete len:518 (+) lcl c236114_g1_i1:923-2476(+),12,1271-a,0.999,0.9999,0.9999,0.999,1,0.999,2,2,13,13,1445-a,0.486,1,1,1,12.7705,1,14.5012,1,13.9135,820-a,0.9951,1,1,1,12.7244,1,14.5261,1,13.9847,1102-a,0.8744,1,1,1,13.0418,1,15.2039,1,14.5236,854-a,0.9954,1,1,1,12.4076,1,14.2731,1,13.666,1032-a,0.9235,1,1,1,12.1003,1,13.7819,1,13.2901,854-a,0.9953,1,1,1,11.7276,1,13.4074,1,12.8346,648-a,0.999,2,2,2,29.6327,2,33.461,2,32.2631,1034-a,0.8903,1,1,1,12.7711,1,14.6164,1,14.0471,1310-a,0.6801,1,1,1,13.7873,1,15.5557,1,15.0791,1717-a,0.4282,1,1,1,10.96,1,12.5112,1,11.9795,1304-a,0.7059,1,1,1,11.6009,1,13.0987,1,12.6356,913-a,0.9944,1,1,1,10.6834,1,12.0777,1,11.5911
lcl|c239835_g2_i1|m.26401,497,1,lcl c239835_g2_i1 g.26401  ORF lcl c239835_g2_i1 g.26401 lcl c239835_g2_i1 m.26401 type:complete len:497 (+) lcl c239835_g2_i1:65-1555(+),9,1273-a,1,0.9999,0.9999,0.9933,1,0.9933,2,2,15,15,918-a,0.9495,1,1,1,13.3101,1,15.114,1,14.5014,1248-a,0.7071,1,1,1,13.262,1,15.1399,1,14.5756,null,0,0,0,0,0,0,0,0,0,678-a,0.9999,2,2,2,25.8638,2,29.7524,2,28.487,null,0,0,0,0,0,0,0,0,0,2140-a,0.2213,1,1,1,12.2231,1,13.9739,1,13.3769,null,0,0,0,0,0,0,0,0,0,621-a,0.9999,2,2,2,26.6215,2,30.468,2,29.2812,585-a,1,2,2,2,28.7396,2,32.426,2,31.4324,663-a,1,2,2,2,22.8462,2,26.0796,2,24.9714,790-a,0.9986,2,2,2,24.1822,2,27.3044,2,26.339,782-a,0.9998,2,2,2,22.2696,2,25.1762,2,24.1617
A0A1Q9D706,1897,1,ANK_REP_REGION domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene27441 PE=4 SV=1,3,1276-a,0.9961,0.9999,0.9999,0.999,1,0.999,2,2,3,3,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,833-a,0.9961,1,1,1,3.5612,1,4.1516,1,3.9659,880-a,0.9954,1,1,1,3.3881,1,3.8975,1,3.7317,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1530-a,0.5604,1,1,1,2.9928,1,3.4163,1,3.2712,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
RTZ78480.1,239,1,YggS family pyridoxal phosphate-dependent enzyme [SAR324 cluster bacterium],1,1277-a,1,0.9998,0.9998,0.999,1,0.999,2,2,2,2,null,0,0,0,0,0,0,0,0,0,1-a,1,2,2,2,55.1566,2,62.9667,2,60.6199,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
WP_066017000.1,1042,1,multidrug efflux RND transporter permease subunit [Endozoicomonas atrinae],4,1279-a,0.963,0.9998,0.9998,0.992,1,0.992,2,2,4,4,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1045-a,0.9365,1,1,1,5.83,1,6.6651,1,6.3803,979-a,0.9144,1,1,1,7.3655,1,8.3171,1,8.0193,871-a,0.963,1,1,1,6.3488,1,7.2661,1,6.9831,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1307-a,0.719,1,1,1,5.3109,1,6.0041,1,5.7622
lcl|c117436_g1_i1|m.70,159,1,lcl c117436_g1_i1 g.70  ORF lcl c117436_g1_i1 g.70 lcl c117436_g1_i1 m.70 type:internal len:160 (+) lcl c117436_g1_i1:2-478(+),6,1281-a,1,0.9998,0.9998,0.9935,1,0.9935,2,2,7,7,null,0,0,0,0,0,0,0,0,0,1014-a,0.9066,1,1,1,41.4542,1,47.324,1,45.5602,null,0,0,0,0,0,0,0,0,0,1014-a,0.9346,1,1,1,40.4223,1,46.4999,1,44.5221,2-a,1,2,2,2,78.8422,2,89.799,2,86.5949,964-a,0.9621,1,1,1,38.2068,1,43.6795,1,41.8133,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1795-a,0.3851,1,1,1,35.7061,1,40.7597,1,39.0277,null,0,0,0,0,0,0,0,0,0,1040-a,0.9419,1,1,1,34.805,1,39.3476,1,37.7622
lcl|c210228_g3_i1|m.2141,313,1,lcl c210228_g3_i1 g.2141  ORF lcl c210228_g3_i1 g.2141 lcl c210228_g3_i1 m.2141 type:5prime_partial len:313 (+) lcl c210228_g3_i1:1-939(+),5,1282-a,0.9961,0.9998,0.9998,0.999,1,0.999,2,2,5,5,1956-a,0.2236,1,1,1,21.1346,1,23.9988,1,23.0262,769-a,0.9951,1,1,1,21.0582,1,24.04,1,23.144,734-a,0.9961,1,1,1,21.5835,1,25.1617,1,24.0358,null,0,0,0,0,0,0,0,0,0,915-a,0.9643,1,1,1,20.0254,1,22.8084,1,21.9945,1077-a,0.9256,1,1,1,19.4086,1,22.1886,1,21.2406,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c213278_g3_i2|m.3010,328,1,lcl c213278_g3_i2 g.3010  ORF lcl c213278_g3_i2 g.3010 lcl c213278_g3_i2 m.3010 type:complete len:328 (+) lcl c213278_g3_i2:339-1322(+),11,1284-a,0.9999,0.9998,0.9998,0.9913,1,0.9913,2,2,12,12,614-a,0.9999,2,2,2,40.3361,2,45.8027,2,43.9463,1045-a,0.8792,1,1,1,20.0952,1,22.9406,1,22.0856,994-a,0.9296,1,1,1,20.5965,1,24.0111,1,22.9366,1405-a,0.6421,1,1,1,19.595,1,22.5411,1,21.5824,1190-a,0.8363,1,1,1,19.1096,1,21.7653,1,20.9887,1105-a,0.9079,1,1,1,18.521,1,21.1739,1,20.2692,909-a,0.9471,1,1,1,23.399,1,26.4219,1,25.4761,1036-a,0.8891,1,1,1,20.169,1,23.0832,1,22.1841,1046-a,0.8794,1,1,1,21.7738,1,24.5666,1,23.8139,null,0,0,0,0,0,0,0,0,0,1045-a,0.9291,1,1,1,18.321,1,20.6864,1,19.955,835-a,0.9978,1,1,1,16.8719,1,19.074,1,18.3055
